"";"Start";"End";"Summary";"Description";"Year";"Month";"Hours";"Pedagogical.Activity"
"41";2019-03-22 10:00:00;2019-03-22 12:00:00;"gp 2ai actibac";"bonjour, nous aurions aimé réserver une place au lf2l pour nos rendez-vous avec m.bachmann dans le cadre de notre projet. 
nous aurions besoin d'un espace le 

1er mars de 10 à 12h, 
le 22 mars 10h à 12h, 
le 5 avril 10h à 12h, 
le 24h avril à 15h à 17h, 
le 24 mai 10h à 12h, 
le 12 juin 16h à 18h. 

pour ces rendez-vous nous aurions besoin d'un vidéoprojecteur. 

cordialement 

le groupe actibac 
";"2019";"Mar";2;"ENSGSI"
"42";2019-03-20 09:00:00;2019-03-20 12:00:00;"ci3";"pour obtenir ta confirmation stp : 
réservation du fablab pour curs de ci3 en 1 ai les jours suivants : 
- 15 mars 8h-12h 
- 18 mars 8h-12h 
- 20 mars 8h12h 
- 25 mars 8h 12h 13h30-17h30 
- 27 mars 8h12h 
- 3 avril journée 
- 5 avril journée 
";"2019";"Mar";3;"ENSGSI"
"43";2019-03-20 01:00:00;2019-03-21 01:00:00;"présence gd au lf2l";NA;"2019";"Mar";24;""
"44";2019-03-19 09:00:00;2019-03-19 12:00:00;"fablab - master m1";"j'ai besoin de réserver le fablab pour un module de master m1 (12 étudiants), voici les dates : 

mardi 08/01/2019 09h00 - 12h00 
mardi 29/01 09h00-12h00 et 13h30 - 16h30 
mardi 05/02 09h00 - 12h00 
mardi 12/02 09h00 - 12h00 
mardi 26/02 09h00 - 12h00 
mardi 05/03 09h00 - 12h00 
mardi 12/03 09h00 - 12h00 
mardi 19/03 09h00 - 12h00 
mardi 26/03 09h00 - 12h00 
";"2019";"Mar";3;""
"45";2019-03-18 09:00:00;2019-03-18 12:00:00;"ci3";"pour obtenir ta confirmation stp : 
réservation du fablab pour curs de ci3 en 1 ai les jours suivants : 
- 15 mars 8h-12h 
- 18 mars 8h-12h 
- 20 mars 8h12h 
- 25 mars 8h 12h 13h30-17h30 
- 27 mars 8h12h 
- 3 avril journée 
- 5 avril journée 
";"2019";"Mar";3;"ENSGSI"
"46";2019-03-15 09:00:00;2019-03-15 12:00:00;"ci3";"réservation du fablab pour curs de ci3 en 1 ai les jours suivants : 
- 15 mars 8h-12h 
- 18 mars 8h-12h 
- 20 mars 8h12h 
- 25 mars 8h 12h 13h30-17h30 
- 27 mars 8h12h 
- 3 avril journée 
- 5 avril journée 
";"2019";"Mar";3;"ENSGSI"
"47";2019-03-14 11:00:00;2019-03-14 12:00:00;"changement switch abv";"upgrade des switch de la baie info 
coupure de service le temps de la bascule 
";"2019";"Mar";1;""
"48";2019-03-12 09:00:00;2019-03-12 12:00:00;"fablab - master m1";"j'ai besoin de réserver le fablab pour un module de master m1 (12 étudiants), voici les dates : 

mardi 08/01/2019 09h00 - 12h00 
mardi 29/01 09h00-12h00 et 13h30 - 16h30 
mardi 05/02 09h00 - 12h00 
mardi 12/02 09h00 - 12h00 
mardi 26/02 09h00 - 12h00 
mardi 05/03 09h00 - 12h00 
mardi 12/03 09h00 - 12h00 
mardi 19/03 09h00 - 12h00 
mardi 26/03 09h00 - 12h00 
";"2019";"Mar";3;""
"49";2019-03-11 13:30:00;2019-03-11 14:30:00;"visite commercial sunsteal";"visite commercial sunsteal présentation de la nouvelle composante du marché ul relatif au maintenance industriel 
";"2019";"Mar";1;""
"50";2019-03-06 14:00:00;2019-03-06 15:30:00;"réunion erpi-doctorant";"nous souhaitons mettre en place une réunion mensuelle erpi-doctorant (réunion complémentaire au séminaire doctorant). 
l'objectif sera d'échanger sur nos travaux de thèse (problème de recherche, méthode utilisée...). pour ces réunions, je souhaiterais à chaque fois inviter quelques personnes erpi et/ou lf2l pour avoir des avis plus expérimentés. 

pour le mercredi 6, on écoutera les présentations des doctorants qui vont passer au séminaire de l'école doctorale le 12 mars. ils auront 1) un entrainement ; 2) potentiellement des avis de modification. 

je souhaiterais réaliser cette réunion au lf2l et inviter toutes les personnes travaillant sur la plateforme (je ferai un mail d'invitation après réservation du lf2l). 

titre : réunion erpi-doctorant 
nombre de personnes : 10-12 
ressources : la salle de présentation en conservant les tables et les chaises comme elles sont. on aura juste besoin du vidéo projecteur. 

en te remerciant, 

maxence 


de: ""benjamin ennesser-serville"" < benjamin.ennesser-serville@univ-lorraine.fr > 
à: ""maxence arnould"" < maxence.arnould@agroparistech.fr > 
envoyé: mardi 26 février 2019 10:12:20 
objet: re: lf2l 

bonjour maxence, 
peut tu me préciser certains éléments, 
a savoir le nombre de personnes impliquées ainsi que les ressources souhaitées. 

et un titre pour la création des rendez-vous. 

pour l'instant l'espace sur le créneaux demandé est disponible. 

bien cordialement 

benjamin ennesser-serville 

opérateur polyvalent 

03 72 74 35 59 

[ http://www.lf2l.fr/?page_id=205 | lf2l aux ateliers du bras vert ] ( [ http://lf2l.fr/ | lien ] ) 
[ https://maps.google.com/?q=49+bd+d%27austrasie%c2%a0+54000+nancy&entry=gmail&source=g | 49 bd d'austrasie ] 
[ https://maps.google.com/?q=49+bd+d%27austrasie%c2%a0+54000+nancy&entry=gmail&source=g | 54000 nancy ] 

----- le 26 fév 19 , à 9:54, maxence arnould < maxence.arnould@agroparistech.fr > a écrit : 



salut benjamin, 

est-ce que le mercredi 6 mars, le lf2l serait libre de 14h à 15h30 ? (pour une réunion) 

en te remerciant, 
bonne journée 
maxence 
";"2019";"Mar";1.5;""
"51";2019-03-06 13:30:00;2019-03-06 16:30:00;"réunion pr hakim";"réunion projet de recherche hakim avec inria lrgp ... 

6 personnes 
";"2019";"Mar";3;""
"52";2019-03-06 11:00:00;2019-03-06 12:00:00;"keyence démonstration xm";NA;"2019";"Mar";1;""
"53";2019-03-06 09:00:00;2019-03-06 17:00:00;"lrgp | production";"étudiante du lrgp viens continuer le travail d'ali (hakim) 
travail sur sigmax 
épreuve de test de traction pla/pla 
";"2019";"Mar";8;""
"54";2019-03-06 01:00:00;2019-03-07 01:00:00;"présence gd au lf2l";NA;"2019";"Mar";24;""
"55";2019-03-05 09:00:00;2019-03-05 12:00:00;"fablab - master m1";"j'ai besoin de réserver le fablab pour un module de master m1 (12 étudiants), voici les dates : 

mardi 08/01/2019 09h00 - 12h00 
mardi 29/01 09h00-12h00 et 13h30 - 16h30 
mardi 05/02 09h00 - 12h00 
mardi 12/02 09h00 - 12h00 
mardi 26/02 09h00 - 12h00 
mardi 05/03 09h00 - 12h00 
mardi 12/03 09h00 - 12h00 
mardi 19/03 09h00 - 12h00 
mardi 26/03 09h00 - 12h00 

";"2019";"Mar";3;""
"56";2019-03-05 09:00:00;2019-03-05 17:00:00;"lrgp | production";"étudiante du lrgp viens continuer le travail d'ali (hakim) 
travail sur sigmax 
épreuve de test de traction pla/pla 
";"2019";"Mar";8;""
"57";2019-03-01 12:00:00;2019-03-01 17:00:00;"jpo log";NA;"2019";"Mar";5;""
"58";2019-03-01 10:00:00;2019-03-01 12:00:00;"gp 2ai actibac";"bonjour, nous aurions aimé réserver une place au lf2l pour nos rendez-vous avec m.bachmann dans le cadre de notre projet. 
nous aurions besoin d'un espace le 

1er mars de 10 à 12h, 
le 22 mars 10h à 12h, 
le 5 avril 10h à 12h, 
le 24h avril à 15h à 17h, 
le 24 mai 10h à 12h, 
le 12 juin 16h à 18h. 

pour ces rendez-vous nous aurions besoin d'un vidéoprojecteur. 

cordialement 

le groupe actibac 
";"2019";"Mar";2;"ENSGSI"
"59";2019-02-28 16:30:00;2019-02-28 18:00:00;"réunion furalor par grandenov";"nouvelle demande de réunion ci-dessous :

sujet : réunion furalor par grandenov 
organisateur: ressource-ensgsi@ressources-mail.univ-lorraine.fr 
envoyé par: ""benjamin ennesser-serville"" <benjamin.ennesser-serville@univ-lorraine.fr> 

endroit : espace co 
heure: jeudi 28 février 2019, 16:30:00 - 18:00:00 gmt +01:00 belgrade, bratislava, budapest, ljubljana, prague
 
invités: g.favre@grandenov.fr; l.dupont@univ-lorraine.fr 


*~*~*~*~*~*~*~*~*~*

réunion le 28 février de 16 heures 30 à 18 heures au lorraine fab living lab à nancy.
6 à 10 personnes";"2019";"Feb";1.5;""
"60";2019-02-28 14:00:00;2019-02-28 16:45:00;"réunion projet smartgrid";"réunion avec l'ensemble de nos tuteurs afin d'éclaircir certains aspects du projet. 

j eudi 28 février 14h00 

espace collaboratif 

groupe projet smartgrid 4 personnes et 3 tuteurs 
";"2019";"Feb";2.75;""
"61";2019-02-28 13:30:00;2019-02-28 16:00:00;"gp 2ai décathlon";"visite de la plateforme et séance de travail 

travée collaborative 

5 étudiants 
tuteur pédagogique m. monticolo 
tuteur industriel m. valatx 

1 vidéoprojecteur 






bonjour benjamin, 



l’idée est de faire découvrir le lf2l à notre tuteur industriel car c’est un ancien de l’école, il ne connait pas cet espace (la plateforme n’existait pas en 2009). après la présentation, nous pensions pouvoir utiliser la travée living lab pour continuer nos travaux avec lui à l’aide d’un vidéo projecteur. 
nous serions 5 étudiants accompagnés de notre tuteur pédagogique m. monticolo et de notre tuteur industriel m. valatx. 

bonne journée 

cordialement 

lelong nicolas 
l’équipe projet décathlon 







le 18 févr. 2019 à 10:03, benjamin ennesser-serville < [ mailto:benjamin.ennesser-serville@univ-lorraine.fr | benjamin.ennesser-serville@univ-lorraine.fr ] > a écrit : 

bonjour groupe projet décathlon, 

nous avons déjà de présent sur la plateforme au créneau demandé une activité de planifié, 
merci de nous préciser le nombre et la nature de votre présence sur la plateforme. 

nous avons une bouilloire et une cafetière à votre disposition, le reste dépend de vous ... 

si l'usage de la plateforme ne se limite qu'a une présentation, l'école sera parfaite. 

argumentez et nous pourrions trouver un moyen de vous faire coexister avec les activités déjà prévu. 

bien cordialement 

benjamin ennesser-serville 

opérateur polyvalent 

03 72 74 35 59 

[ http://www.lf2l.fr/?page_id=205 | lf2l aux ateliers du bras vert ] ( [ http://lf2l.fr/ | lien ] ) 
[ https://maps.google.com/?q=49+bd+d%27austrasie%c2%a0+54000+nancy&entry=gmail&source=g | 49 bd d'austrasie ] 
[ https://maps.google.com/?q=49+bd+d%27austrasie%c2%a0+54000+nancy&entry=gmail&source=g | 54000 nancy ] 

----- le 13 fév 19 , à 11:15, ensgsi projet décathlon < [ mailto:ensgsi.pi2ai.decathlon.19@gmail.com | ensgsi.pi2ai.decathlon.19@gmail.com ] > a écrit : 


bonjour, 

nous sommes le projet décathlon 2ai. 
pourrions-nous utiliser la plateforme lf2l (côté living lab) pour la venue de notre tuteur industriel le jeudi 28/02 à partir de 13h30 ? nous aurions besoin du vidéo projecteur (cf. charte ci-joint) 
serait-il possible d’avoir à disposition café, thé etc ... ? (ou devons nous faire une demande à la scolarité de l’école pour cette demande ?) 

cordialement 

l’équipe projet décathlon 

";"2019";"Feb";2.5;"ENSGSI"
"62";2019-02-28 09:00:00;2019-02-28 11:30:00;"gp 1ai smartgrip";"bonjour, 

est-il possible de venir au lf2l ce jeudi 28 de 9h à 12h? 

cordialement, 
le groupe projet smartgrid 
";"2019";"Feb";2.5;"ENSGSI"
"63";2019-02-27 15:00:00;2019-02-27 16:30:00;"projet giang dev appli";"projet de giang. dev applicatif avec 2 étudiant telecom nancy 
";"2019";"Feb";1.5;""
"64";2019-02-26 09:00:00;2019-02-26 12:00:00;"fablab - master m1";"j'ai besoin de réserver le fablab pour un module de master m1 (12 étudiants), voici les dates : 

mardi 08/01/2019 09h00 - 12h00 
mardi 29/01 09h00-12h00 et 13h30 - 16h30 
mardi 05/02 09h00 - 12h00 
mardi 12/02 09h00 - 12h00 
mardi 26/02 09h00 - 12h00 
mardi 05/03 09h00 - 12h00 
mardi 12/03 09h00 - 12h00 
mardi 19/03 09h00 - 12h00 
mardi 26/03 09h00 - 12h00 
";"2019";"Feb";3;""
"65";2019-02-26 08:45:00;2019-02-26 16:30:00;"prestation grdf";"prestation journée grdf 

réflexion ""prototypage et innovation"" 

22 personnes en travée collaborative 

08:30 ouverture de la plateforme 
préparation de l'espace (table et café ) par 
nathalia ou benjamin (inow) 

9h - café accueille nathalia benjamin 
échange grdf interne 
12h 

12h -13h pause repas assuré par un traiteur 
13h - 14h speech johan 
14h - 15h visite de la platefo rme 
15h - 16h réflexion 

16h fin de l'activité rangement 

";"2019";"Feb";7.75;""
"66";2019-02-25 16:00:00;2019-02-25 18:00:00;"séminaire doctorant";NA;"2019";"Feb";2;""
"67";2019-02-25 14:00:00;2019-02-25 14:30:00;"orexad";"mr houot 
0670659610 

lot 8 maintenance 
";"2019";"Feb";0.5;""
"68";2019-02-25 13:30:00;2019-02-25 15:30:00;"réunion labo";NA;"2019";"Feb";2;""
"69";2019-02-25 10:00:00;2019-02-25 17:00:00;"lrgp | production";"bonjour benjamin, 

j'ai reçu un message texto de hakim pour aller demain (25/02) à 11h au fablab pour discuter avec lui sur la partie des tests mécaniques 
dans ces derniers jours j'ai réussi a faire un filament ""flex"" avec le diamètre de 2,85 mm. alors, comme le matin je dois aller au fablab, j'aimerais bien profiter de cette occasion pour faire quelques tests d'impression sur la sigmax si elle est toujours disponible demain à l'après-midi. si c'est possible, jennifer me rejoindras à l'après-midi pour qu'on fasse les tests ensemble. 
merci d'avance. 
";"2019";"Feb";7;""
"70";2019-02-25 09:30:00;2019-02-25 12:00:00;"réunion labcom avec j. dinet";"5 personnes";"2019";"Feb";2.5;""
"71";2019-02-25 01:00:00;2019-03-02 01:00:00;"stg3e falk colline";"la période de stage de coline falk est du 25/02 au 01/03. 
a tout bientôt, 
cindy 
";"2019";"Feb";120;""
"72";2019-02-21 10:00:00;2019-02-21 12:00:00;"visite étudiants agroparistech";"réserver de 10h à 12h. 

1h de présentation de 10h à 11h et 1h de visite de 11h à 12h 

heure de présentation 
mauricio qui fera 30min sur une présentation de l'erpi 
maxence présentation de thèse pendant 30min. 

heure de visite de la plateforme 
fabio 


il y aura environ une dizaine de personnes 


installation de la salle 9h30 


bonjour, 

je suis maxence arnould, doctorant erpi sur la ""conception et évaluation de systèmes d'innovation pour mieux mobiliser les bois en petite propriété forestière privée"". 

le 21 février de 10h à 12h je reçois 7 étudiants d'agroparistech (+ ma co-directrice de thèse) pour un module d'innovation, j'ai prévu de faire 1h en salle à l'ensgsi (présentation erpi + présentation de ma thèse) et durant la deuxième heure je souhaitais organiser une visite du lf2l. 

est-ce possible de réaliser cette visite ? si oui, est-ce qu'une personne travaillant au lf2l pourrait faire la visite ? 

en vous remerciant, 
bien cordialement, 
maxence 
";"2019";"Feb";2;""
"73";2019-02-20 14:00:00;2019-02-20 14:30:00;"tig";NA;"2019";"Feb";0.5;""
"74";2019-02-20 01:00:00;2019-02-21 01:00:00;"présence gd au lf2l";NA;"2019";"Feb";24;""
